,Sparklines,rowSum,order_pearson_average,WG_SEC_40-70_12a_122021,WG_SEC_40-70_13a_122021_20220103104224,WG_SEC_40-70_14a_122021,WG_SEC_40-70_15a_122021,WG_SEC_40-70_16a_122021,WG_SEC_40-70_17a_122021,WG_SEC_40-70_18a_122021,WG_SEC_40-70_19a_122021,WG_SEC_40-70_20a_122021,WG_SEC_40-70_21a_122021,WG_SEC_40-70_22a_122021,WG_SEC_40-70_23a_122021,WG_SEC_40-70_24a_122021,WG_SEC_40-70_25a_122021,WG_SEC_40-70_26a_122021,WG_SEC_40-70_27a_122021,WG_SEC_40-70_28a_122021,WG_SEC_40-70_29a_122021,WG_SEC_40-70_30a_122021,WG_SEC_40-70_31a_122021,WG_SEC_40-70_32a_122021,WG_SEC_40-70_33a_122021_20220108060733,WG_SEC_40-70_34a_122021,WG_SEC_40-70_35a_122021,WG_SEC_40-70_36a_122021,WG_SEC_40-70_37a_122021,WG_SEC_40-70_38a_122021,WG_SEC_40-70_39a_122021,WG_SEC_40-70_40a_122021,WG_SEC_40-70_41a_122021,WG_SEC_40-70_42a_122021,WG_SEC_40-70_43a_122021,WG_SEC_40-70_44a_122021,WG_SEC_40-70_45a_122021,WG_SEC_40-70_46a_122021,WG_SEC_40-70_47a_122021,WG_SEC_40-70_48a_122021,WG_SEC_40-70_49a_122021,WG_SEC_40-70_50a_122021,WG_SEC_40-70_51a_122021,WG_SEC_40-70_52a_122021,WG_SEC_40-70_53a_122021,WG_SEC_40-70_54a_122021,WG_SEC_40-70_55a_122021,WG_SEC_40-70_56a_122021,WG_SEC_40-70_57a_122021,WG_SEC_40-70_58a_122021,WG_SEC_40-70_59a_122021,WG_SEC_40-70_60a_122021,WG_SEC_40-70_61a_122021,WG_SEC_40-70_62a_122021
tr|A0A3B6B6T8|A0A3B6B6T8_WHEAT,,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,1,1,1,1,1,1,2,1,4,1,1,1,0,0,0,0,2,1
tr|A0A3B6KDG4|A0A3B6KDG4_WHEAT,,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,1,1,1,3,0,0,0,0,0,1,0,3,0
tr|A0A3B6KCP7|A0A3B6KCP7_WHEAT,,62,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,1,12,4,6,5,4,2,2,2,1,1,7,1,1,1,0,0,4,0,1,1
tr|A0A3B6KPJ4|A0A3B6KPJ4_WHEAT,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
tr|A0A1D5UZY9|A0A1D5UZY9_WHEAT,,46,4,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,2,3,15,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
tr|A0A3B6QAY5|A0A3B6QAY5_WHEAT,,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tr|A0A3B6KLP1|A0A3B6KLP1_WHEAT,,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tr|A0A3B6G2Z9|A0A3B6G2Z9_WHEAT,,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tr|F8WPI7|F8WPI7_WHEAT,,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tr|A0A3B6FVG3|A0A3B6FVG3_WHEAT,,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
tr|A0A3B6LV08|A0A3B6LV08_WHEAT,,2,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tr|A0A3B6LNF3|A0A3B6LNF3_WHEAT,,2,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tr|A0A3B6RRQ4|A0A3B6RRQ4_WHEAT,,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0
tr|A7UME1|A7UME1_WHEAT,,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
tr|A0A3B6BZ54|A0A3B6BZ54_WHEAT,,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
tr|A0A3B6HW69|A0A3B6HW69_WHEAT,,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
sp|P30523|GLGS_WHEAT,,4,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
tr|A0A3B6IVF7|A0A3B6IVF7_WHEAT,,14,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,6,0,0,1,0,0,0,0,0,0
tr|A0A1D5SSE7|A0A1D5SSE7_WHEAT,,35,18,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,0,1,1,1,1,2,1,0,1,0,9,1,1,0,1,1,1,1,1,0
tr|A0A3B6HWM1|A0A3B6HWM1_WHEAT,,8,19,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
tr|A0A3B6AUH5|A0A3B6AUH5_WHEAT,,71,20,0,0,1,2,0,2,2,2,0,0,0,1,1,2,2,1,2,1,1,1,1,0,0,1,1,1,3,2,1,1,1,0,2,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,2,2,2
tr|A0A3B6KEE0|A0A3B6KEE0_WHEAT,,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
tr|W5GUB7|W5GUB7_WHEAT,,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tr|A0A3B6UBM4|A0A3B6UBM4_WHEAT,,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tr|A0A3B6TRT6|A0A3B6TRT6_WHEAT,,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tr|A0A3B6TFP3|A0A3B6TFP3_WHEAT,,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tr|A0A3B6SQW0|A0A3B6SQW0_WHEAT,,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tr|A0A3B6SN29|A0A3B6SN29_WHEAT,,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tr|A0A3B6SJ27|A0A3B6SJ27_WHEAT,,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tr|A0A3B6SDA5|A0A3B6SDA5_WHEAT,,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tr|A0A3B6SCW1|A0A3B6SCW1_WHEAT,,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tr|A0A3B6RS75|A0A3B6RS75_WHEAT,,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tr|A0A3B6RGC0|A0A3B6RGC0_WHEAT,,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tr|A0A3B6RD42|A0A3B6RD42_WHEAT,,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tr|A0A3B6QBL7|A0A3B6QBL7_WHEAT,,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
